goalID,name,unitOfMeasure,status,targetValue,currentValue,startDate,endDate
31,Seem section home technology least age,Tasks,In Progress,3617,5409,2025-03-30,2025-09-23
32,Skin nor we positive,Tasks,Completed,364,2250,2025-04-03,2025-09-21
33,Possible month pass television election grow,Number,Not Started,1282,5798,2025-06-12,2026-05-27
34,Want attorney important charge,USD,In Progress,3717,893,2025-07-01,2026-02-24
35,Discuss start behavior right,Percent,Not Started,4209,9866,2025-06-12,2025-08-30
36,Dog me general,Tasks,Not Started,6475,3249,2025-05-31,2025-08-02
37,Official region sure,USD,Not Started,9415,7922,2025-09-29,2025-10-31
38,Audience capital pressure civil,Percent,In Progress,4602,3917,2025-06-10,2026-02-23
39,Heavy then officer,Percent,In Progress,4443,2987,2026-03-04,2026-11-06
40,Stock face perform lot,Percent,Not Started,1861,285,2026-01-13,2026-04-19
41,Score be billion discussion agency culture,USD,Not Started,4165,7706,2025-07-30,2026-07-02
42,Though senior nation,USD,In Progress,2088,9002,2025-06-02,2026-02-10
43,Behavior page give professor good,Percent,In Progress,1329,5300,2025-08-14,2025-10-17
44,Have who rule speak,Percent,In Progress,760,8782,2025-09-26,2026-06-07
45,Religious name discover center company face,Number,In Progress,269,7245,2026-02-04,2026-06-01
46,Media see large evidence,Percent,Completed,2308,3881,2025-05-17,2026-02-02
47,Shake ever foot until,USD,Completed,5844,1625,2026-02-07,2026-08-06
48,Crime process begin little,Number,In Progress,8574,8004,2025-06-28,2026-01-11
49,Bill know light,Tasks,Not Started,1892,5251,2025-07-23,2025-10-29
50,Assume often already so campaign,USD,In Progress,5425,8197,2025-08-28,2025-12-12
51,Together late seat theory lay,USD,Completed,5180,9646,2026-03-02,2026-04-04
52,Play nice time many head,USD,In Progress,8380,4386,2025-09-03,2025-11-09
53,Fast economic whether,Number,Not Started,3576,608,2026-03-21,2026-09-04
54,Senior even care brother continue whom,Number,Not Started,2903,5837,2026-02-17,2026-07-19
55,Author hospital song green put focus,Percent,Completed,4927,820,2025-07-18,2025-10-05
56,Reveal PM understand well world sport,Number,Not Started,8244,8642,2025-07-29,2026-04-27
57,Piece end baby across,Tasks,In Progress,2449,4263,2025-09-15,2026-06-25
58,Inside mother such,Percent,In Progress,234,3474,2025-07-15,2026-03-15
59,Doctor size painting,USD,In Progress,5254,9637,2025-05-28,2026-04-02
60,Popular turn true particularly,USD,In Progress,3793,7381,2025-11-16,2026-05-25
61,Traditional decision staff,USD,In Progress,1258,8551,2026-03-01,2026-09-06
62,Industry budget leg,Tasks,In Progress,5641,291,2025-08-27,2026-08-13
63,Moment brother film discuss,Percent,Completed,2622,943,2025-12-14,2026-06-04
64,Lose add ask system ahead,USD,Completed,9138,1367,2026-03-22,2026-08-21
65,Same total young,Percent,Completed,7907,9257,2025-06-27,2025-08-02
66,Pressure measure production pass more,Number,In Progress,8326,5668,2025-04-27,2026-01-04
67,Skin network economic,Percent,Not Started,7586,4553,2025-07-19,2026-03-16
68,Eye wish maybe see,Number,In Progress,3921,2348,2025-09-26,2026-01-08
69,First begin book board positive operation voice,USD,Completed,7897,2543,2026-03-22,2026-11-20
70,While yeah sea simply real street,Tasks,Not Started,9300,9476,2025-05-16,2026-03-16
71,Next finish second price,Tasks,Not Started,6580,7996,2025-05-16,2025-08-15
72,Job when nice,Percent,Completed,9869,634,2026-01-06,2026-04-15
73,Mouth international recently learn room can onto,Tasks,In Progress,6534,9020,2026-02-16,2026-10-11
74,Successful two because once weight,Percent,In Progress,7255,6161,2025-12-19,2026-11-30
75,Guess join evidence age,USD,In Progress,2215,1207,2026-03-16,2026-08-07
76,Return great less travel experience event push,Tasks,In Progress,9911,1092,2025-10-18,2026-02-26
77,Fly anyone notice future,Number,In Progress,3533,5421,2025-06-30,2025-09-23
78,Including fast have instead deep concern,USD,In Progress,590,2733,2025-05-09,2026-02-25
79,Us consider wall nation,Number,Not Started,9546,6667,2025-05-10,2026-01-21
80,Town scientist popular upon sing develop,Tasks,Not Started,7741,2612,2025-09-23,2026-07-03
81,Back grow over,USD,In Progress,3608,3807,2026-02-08,2026-08-24
82,Reach idea media,Tasks,In Progress,7035,1341,2025-07-09,2026-01-11
83,Forward particular worry,Number,In Progress,2311,2824,2025-10-23,2026-01-29
84,Analysis turn relationship agree,USD,In Progress,4490,7398,2026-02-15,2026-11-22
85,Mention treatment student thousand,Percent,In Progress,855,3042,2025-12-31,2026-07-16
86,Return figure plan rise partner size,Number,In Progress,7083,8365,2026-01-26,2026-10-02
87,Authority travel table inside subject green,Tasks,Completed,3983,1207,2026-02-19,2026-10-21
88,Next argue stay want benefit,Tasks,In Progress,6144,9574,2026-03-21,2026-09-13
89,Ten policy per,Tasks,Completed,3263,2646,2026-02-13,2026-12-04
90,Woman respond method degree,Number,Completed,8481,8867,2025-05-11,2025-12-17
91,Interview red in,Percent,In Progress,2554,3356,2025-08-11,2026-04-03
92,Once race school out majority,Percent,Not Started,6412,6850,2025-07-10,2025-10-19
93,Change summer government result,Tasks,Not Started,5454,7486,2025-07-24,2026-05-18
94,Major set everyone against,Number,Completed,8499,6247,2026-01-06,2026-05-24
95,Old small group statement half,Tasks,In Progress,5038,8559,2025-09-08,2026-07-09
96,Coach land since south science something,Tasks,Not Started,4407,2666,2025-05-31,2025-10-04
97,Finish while security,USD,Not Started,3597,1087,2025-07-20,2026-04-29
98,Someone care us billion,USD,Completed,9759,6478,2025-11-30,2026-02-24
99,Fund while painting environment,USD,In Progress,3967,9771,2026-01-24,2026-04-12
100,Assume weight write,Tasks,Completed,4670,5974,2025-05-27,2025-07-19
